company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
DRREDDY,2023,+,-,-,Reinvestment
DRREDDY,2024,+,-,-,Reinvestment
EICHERMOT,2012,+,-,-,Reinvestment
EICHERMOT,2013,+,-,-,Reinvestment
EICHERMOT,2014,+,-,-,Reinvestment
EICHERMOT,2016,+,-,-,Reinvestment
EICHERMOT,2017,+,-,+,Mixed
EICHERMOT,2018,+,-,-,Reinvestment
EICHERMOT,2019,+,-,-,Reinvestment
EICHERMOT,2020,+,-,-,Reinvestment
EICHERMOT,2021,+,-,-,Reinvestment
EICHERMOT,2022,+,-,-,Reinvestment
EICHERMOT,2023,+,-,-,Reinvestment
EICHERMOT,2024,+,-,-,Reinvestment
GAIL,2013,+,-,+,Mixed
GAIL,2014,+,-,-,Reinvestment
GAIL,2015,+,-,-,Reinvestment
GAIL,2016,+,-,-,Reinvestment
GAIL,2017,+,-,-,Reinvestment
GAIL,2018,+,-,-,Reinvestment
GAIL,2019,+,-,-,Reinvestment
GAIL,2020,+,-,+,Mixed
GAIL,2021,+,-,-,Reinvestment
GAIL,2022,+,-,-,Reinvestment
GAIL,2023,+,-,+,Mixed
GAIL,2024,+,-,-,Reinvestment
GODREJCP,2013,+,-,+,Mixed
GODREJCP,2014,+,-,-,Reinvestment
GODREJCP,2015,+,-,-,Reinvestment
GODREJCP,2016,+,-,-,Reinvestment
GODREJCP,2017,+,-,+,Mixed
GODREJCP,2018,+,-,-,Reinvestment
GODREJCP,2019,+,+,-,Shareholder Returns
GODREJCP,2020,+,-,-,Reinvestment
GODREJCP,2021,+,-,-,Reinvestment
GODREJCP,2022,+,-,-,Reinvestment
GODREJCP,2023,+,-,-,Reinvestment
GODREJCP,2024,+,-,+,Mixed
GRASIM,2013,+,-,+,Mixed
GRASIM,2014,+,-,-,Reinvestment
GRASIM,2015,+,-,-,Reinvestment
GRASIM,2016,+,-,-,Reinvestment
GRASIM,2017,+,-,-,Reinvestment
GRASIM,2018,-,+,+,Distress
GRASIM,2019,-,-,+,Debt Funded Growth
GRASIM,2020,+,-,-,Reinvestment
GRASIM,2021,+,-,-,Reinvestment
GRASIM,2022,+,-,-,Reinvestment
GRASIM,2023,-,-,+,Debt Funded Growth
GRASIM,2024,-,-,+,Debt Funded Growth
HAL,2017,-,+,-,Mixed
HAL,2018,-,+,-,Mixed
HAL,2019,-,+,+,Distress
HAL,2020,+,-,+,Mixed
HAL,2021,+,-,-,Reinvestment
HAL,2022,+,-,-,Reinvestment
HAL,2023,+,-,-,Reinvestment
HAL,2024,+,-,-,Reinvestment
HAVELLS,2013,+,-,-,Reinvestment
HAVELLS,2014,+,-,-,Reinvestment
HAVELLS,2015,+,-,-,Reinvestment
HAVELLS,2016,+,-,-,Reinvestment
HAVELLS,2017,+,-,-,Reinvestment
HAVELLS,2018,+,-,-,Reinvestment
HAVELLS,2019,+,+,-,Shareholder Returns
HAVELLS,2020,+,-,-,Reinvestment
HAVELLS,2021,+,-,+,Mixed
HAVELLS,2022,+,-,-,Reinvestment
HAVELLS,2023,+,+,-,Shareholder Returns
HAVELLS,2024,+,-,-,Reinvestment
HCLTECH,2013,+,-,-,Reinvestment
HCLTECH,2014,+,-,-,Reinvestment
HCLTECH,2015,+,-,-,Reinvestment
HCLTECH,2016,+,-,-,Reinvestment
HCLTECH,2017,+,-,-,Reinvestment
HCLTECH,2018,+,-,-,Reinvestment
HCLTECH,2019,+,-,-,Reinvestment
HCLTECH,2020,+,-,-,Reinvestment
HCLTECH,2021,+,-,-,Reinvestment
HCLTECH,2022,+,+,-,Shareholder Returns
HCLTECH,2023,+,-,-,Reinvestment
HCLTECH,2024,+,-,-,Reinvestment
HDFCBANK,2013,-,-,+,Debt Funded Growth
HDFCBANK,2014,+,-,+,Mixed
HDFCBANK,2015,-,-,+,Debt Funded Growth
HDFCBANK,2016,-,-,+,Debt Funded Growth
HDFCBANK,2017,+,-,-,Reinvestment
HDFCBANK,2018,+,-,+,Mixed
HDFCBANK,2019,-,-,+,Debt Funded Growth
HDFCBANK,2020,-,-,+,Debt Funded Growth
HDFCBANK,2021,+,-,-,Reinvestment
HDFCBANK,2022,-,-,+,Debt Funded Growth
HDFCBANK,2023,+,-,+,Mixed
HDFCBANK,2024,+,+,-,Shareholder Returns
HDFCLIFE,2013,0,0,0,Other
HDFCLIFE,2014,0,0,0,Other
HDFCLIFE,2015,+,-,-,Reinvestment
HDFCLIFE,2016,+,-,-,Reinvestment
HDFCLIFE,2017,+,-,-,Reinvestment
HDFCLIFE,2018,+,-,-,Reinvestment
HDFCLIFE,2019,+,-,-,Reinvestment
HDFCLIFE,2020,+,-,+,Mixed
HDFCLIFE,2021,+,-,+,Mixed
HDFCLIFE,2022,+,-,-,Reinvestment
HDFCLIFE,2023,+,-,+,Mixed
HDFCLIFE,2024,+,-,-,Reinvestment
HEROMOTOCO,2014,+,-,-,Reinvestment
HEROMOTOCO,2015,+,+,-,Shareholder Returns
HEROMOTOCO,2016,+,-,-,Reinvestment
HEROMOTOCO,2017,+,-,-,Reinvestment
HEROMOTOCO,2018,+,-,-,Reinvestment
HEROMOTOCO,2019,+,+,-,Shareholder Returns
HEROMOTOCO,2020,+,-,-,Reinvestment
HEROMOTOCO,2021,+,-,-,Reinvestment
HEROMOTOCO,2022,+,-,-,Reinvestment
HEROMOTOCO,2023,+,-,-,Reinvestment
HEROMOTOCO,2024,+,-,-,Reinvestment
HINDALCO,2013,+,-,+,Mixed
HINDALCO,2014,+,-,+,Mixed
HINDALCO,2015,+,-,-,Reinvestment
HINDALCO,2016,+,-,-,Reinvestment
HINDALCO,2017,+,-,-,Reinvestment
HINDALCO,2018,+,+,-,Shareholder Returns
HINDALCO,2019,+,-,-,Reinvestment
HINDALCO,2020,+,-,+,Mixed
HINDALCO,2021,+,-,-,Reinvestment
HINDALCO,2022,+,-,-,Reinvestment
HINDALCO,2023,+,-,-,Reinvestment
HINDALCO,2024,+,-,-,Reinvestment
HINDUNILVR,2013,+,+,-,Shareholder Returns
HINDUNILVR,2014,+,-,-,Reinvestment
HINDUNILVR,2015,+,+,-,Shareholder Returns
HINDUNILVR,2016,+,-,-,Reinvestment
HINDUNILVR,2017,+,-,-,Reinvestment
HINDUNILVR,2018,+,-,-,Reinvestment
HINDUNILVR,2019,+,-,-,Reinvestment
HINDUNILVR,2020,+,+,-,Shareholder Returns
HINDUNILVR,2021,+,-,-,Reinvestment
HINDUNILVR,2022,+,-,-,Reinvestment
HINDUNILVR,2023,+,-,-,Reinvestment
HINDUNILVR,2024,+,-,-,Reinvestment
ICICIBANK,2013,+,-,+,Mixed
ICICIBANK,2014,+,-,+,Mixed
ICICIBANK,2015,-,-,+,Debt Funded Growth
ICICIBANK,2016,+,-,+,Mixed
ICICIBANK,2017,+,-,-,Reinvestment
ICICIBANK,2018,+,-,+,Mixed
ICICIBANK,2019,+,-,-,Reinvestment
ICICIBANK,2020,+,-,+,Mixed
ICICIBANK,2021,+,-,-,Reinvestment
ICICIBANK,2022,+,-,+,Mixed
ICICIBANK,2023,-,-,+,Debt Funded Growth
ICICIBANK,2024,+,-,+,Mixed
ICICIGI,2013,+,-,+,Mixed
ICICIGI,2014,+,-,+,Mixed
ICICIGI,2015,-,+,-,Mixed
ICICIGI,2016,+,-,-,Reinvestment
ICICIGI,2017,+,-,+,Mixed
ICICIGI,2018,+,-,-,Reinvestment
ICICIGI,2019,+,-,-,Reinvestment
ICICIGI,2020,+,-,-,Reinvestment
ICICIGI,2021,+,-,-,Reinvestment
ICICIGI,2022,+,+,-,Shareholder Returns
ICICIGI,2023,+,-,-,Reinvestment
ICICIGI,2024,+,-,-,Reinvestment
ICICIPRULI,2013,-,+,-,Mixed
ICICIPRULI,2014,-,+,-,Mixed
ICICIPRULI,2015,+,-,-,Reinvestment
ICICIPRULI,2016,+,+,-,Shareholder Returns
ICICIPRULI,2017,+,-,-,Reinvestment
ICICIPRULI,2018,+,-,-,Reinvestment
ICICIPRULI,2019,+,-,-,Reinvestment
ICICIPRULI,2020,+,-,-,Reinvestment
ICICIPRULI,2021,+,-,+,Mixed
ICICIPRULI,2022,+,-,-,Reinvestment
ICICIPRULI,2023,+,-,-,Reinvestment
ICICIPRULI,2024,-,+,-,Mixed
INDIGO,2013,+,-,+,Mixed
INDIGO,2014,+,-,+,Mixed
INDIGO,2015,+,-,-,Reinvestment
INDIGO,2016,+,-,-,Reinvestment
INDIGO,2017,+,-,-,Reinvestment
INDIGO,2018,+,-,+,Mixed
INDIGO,2019,+,-,-,Reinvestment
INDIGO,2020,+,-,-,Reinvestment
INDIGO,2021,-,+,-,Mixed
INDIGO,2022,+,+,-,Shareholder Returns
INDIGO,2023,+,-,-,Reinvestment
INDIGO,2024,+,-,-,Reinvestment
INDUSINDBK,2013,-,-,+,Debt Funded Growth
INDUSINDBK,2014,-,-,+,Debt Funded Growth
INDUSINDBK,2015,-,-,+,Debt Funded Growth
INDUSINDBK,2016,-,-,+,Debt Funded Growth
INDUSINDBK,2017,+,-,-,Reinvestment
INDUSINDBK,2018,-,-,+,Debt Funded Growth
INDUSINDBK,2019,-,-,+,Debt Funded Growth
INDUSINDBK,2020,-,+,+,Distress
INDUSINDBK,2021,+,-,-,Reinvestment
INDUSINDBK,2022,+,-,-,Reinvestment
INDUSINDBK,2023,-,-,+,Debt Funded Growth
INDUSINDBK,2024,-,-,-,Pre-Revenue
INFY,2013,+,-,-,Reinvestment
INFY,2014,+,-,-,Reinvestment
INFY,2015,+,+,-,Shareholder Returns
INFY,2016,+,-,-,Reinvestment
INFY,2017,+,-,-,Reinvestment
INFY,2018,+,+,-,Shareholder Returns
INFY,2019,+,-,-,Reinvestment
INFY,2020,+,-,-,Reinvestment
INFY,2021,+,-,-,Reinvestment
INFY,2022,+,-,-,Reinvestment
INFY,2023,+,-,-,Reinvestment
INFY,2024,+,-,-,Reinvestment
IOC,2013,+,-,+,Mixed
IOC,2014,+,-,-,Reinvestment
IOC,2015,+,-,-,Reinvestment
IOC,2016,+,-,-,Reinvestment
IOC,2017,+,-,-,Reinvestment
IOC,2018,+,-,-,Reinvestment
IOC,2019,+,-,+,Mixed
IOC,2020,+,-,+,Mixed
IOC,2021,+,-,-,Reinvestment
IOC,2022,+,-,-,Reinvestment
IOC,2023,+,-,-,Reinvestment
IOC,2024,+,-,-,Reinvestment
