company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,interest_coverage,asset_turnover,net_debt,debt_free,high_leverage_flag,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y,pat_cagr_3y,pat_cagr_5y,pat_cagr_10y,eps_cagr_3y,eps_cagr_5y,eps_cagr_10y,free_cash_flow,cashflow_quality,cashflow_status,broad_sector,pe_ratio,pb_ratio,dividend_yield_pct,roe_score,roce_score,npm_score,fcf_score,cash_quality_score,revenue_growth_score,pat_growth_score,debt_score,interest_score,composite_score
NESTLEIND,2024,16.12281708616873,23.829630236943512,117.75449101796409,143.14789687924016,37.37527321106148,0.1032934131736526,41.18620689655173,2.318160220469448,-119,No,0,18.28,14.55,9.49,22.91,14.85,12.75,23.06,15.44,13.07,2938.0,0.95,Positive,Consumer Staples,54.96,14.34,3.85,2.820331565685158,2.834622275772359,3.0402187990809035,5.44538685143153,26.12612612612612,37.66828988828416,11.17079311791859,93.77496009117938,1.0137542443043424,17.74322563047802
ABB,2024,20.53342451701145,24.84185330825782,32.46823465801568,36.541512427287145,23.127286732139417,0.0224384968910516,141.75,1.1263238975544,83,No,0,10.71,9.72,9.9,20.23,21.69,19.75,20.24,21.66,19.77,797.0,1.04,Positive,Industrials,75.58,4.48,0.96,0.5795976991766445,0.681274330843388,4.066738372404576,1.1826544021024967,34.234234234234236,23.832712689773704,16.91145614771297,98.64773043750701,3.6872953132040616,17.683631657452047
PIDILITIND,2024,14.108051360736493,21.868690947266412,20.780302129178065,26.93139151211742,14.466710831401125,0.0454383252051861,54.333333333333336,1.0254223252732693,-1853,No,0,19.3,11.84,11.2,15.77,13.49,14.53,15.62,13.56,14.22,955.0,1.08,Positive,Materials,36.12,12.3,1.01,0.2725195442122543,0.48715899497880555,2.5713045995637875,1.4972325090590533,37.837837837837846,29.90547121168719,10.029374737725556,97.26163189789528,1.363277481068048,17.67922804991946
ULTRACEMCO,2024,9.877587860326056,18.28989676764258,11.629142591485689,13.714732448241683,6.948619502564561,0.1893305439330544,13.983471074380166,0.7034733176582636,3154,No,0,16.6,11.33,13.09,8.64,23.89,12.21,8.74,22.53,11.75,2109.0,1.02,Positive,,,,,0.03209026557927544,0.22019500609265688,1.5867115122182303,3.7948472902480788,32.432432432432435,28.444571755943855,18.757868233319346,88.58988046061967,0.2905552761410037,17.034918262372635
GAIL,2024,7.433122166511544,10.743987750322754,12.86154006000234,10.772236337318176,7.939231170080571,0.2830499889606088,23.624478442280942,1.068088347296268,-116,No,0,32.42,11.83,7.99,17.25,8.61,7.54,18.56,8.45,7.92,4360.0,1.08,Positive,Energy,25.84,9.54,0.31,0.06446916063887204,0.16075937298313772,1.0177894486784733,8.276589814040538,37.837837837837846,29.876826124319678,5.933697020562316,82.9418215224544,0.5468665025595674,16.904886828747728
EICHERMOT,2024,24.19569424286405,26.179245283018872,22.172346910501524,20.20688908145581,17.309106640709494,0.0232197284566361,114.70588235294116,0.7153796236210254,-13108,No,0,23.78,11.04,6.59,43.75,12.68,19.01,43.9,12.51,20.3,890.0,1.01,Positive,Consumer Discretionary,15.62,13.61,4.41,0.3090928681959382,0.35133041806781196,4.919090710563158,1.3678174650579382,31.53153153153153,27.613864222285873,9.349559378934117,98.60064904553462,2.968313292237629,16.899860184573143
CIPLA,2024,16.11701714906495,75.59168153953597,15.554557028383137,67.603154227031,12.768573448498447,0.0209316258518684,35.33876811594203,0.7922417237881536,-4890,No,0,10.39,9.51,9.74,20.25,22.73,11.46,19.35,21.83,11.61,1152.0,0.99,Positive,Healthcare,59.75,5.93,0.12,0.13522304973754684,1.3086900609560972,3.0388689285575277,1.8894596424162784,29.72972972972973,23.231165855055856,17.78430549727235,98.73854293046423,0.8582970241122286,16.837179775560593
LT,2024,7.031246466738726,13.506668535997433,77.66510140873214,118.53411200144868,56.44423467905896,0.1034568888000799,3.5441547518923464,8.027628521638107,-6673,No,0,17.59,10.34,10.03,6.36,8.76,12.27,5.03,8.56,10.5,20445.0,0.66,Positive,Industrials,30.8,2.48,1.26,1.7670592470370419,2.337447145446053,0.9242573721270303,40.30183570262414,0.0,25.608708106559718,6.059588753671843,93.76510813385352,0.01302058837623445,16.83215380145519
TORNTPHARM,2024,15.436241610738255,31.3944817300522,24.15402567094516,23.533737819452107,11.416752843846949,0.5866394399066511,9.926553672316384,0.7396070320579111,3849,No,0,10.25,6.93,9.9,9.77,30.59,9.57,9.82,30.39,9.37,3106.0,1.11,Positive,Healthcare,46.4,6.43,1.22,0.361157701389296,0.4185296100288018,2.8804260324055146,5.779874965157488,40.54054054054055,15.840733314236605,24.381032312211502,64.64581996755462,0.18270000385235768,16.25939110980113
ADANIPOWER,2024,41.36759945184802,36.20186292228556,48.27674122146251,18.385823227581948,22.63800280407352,0.8023177656738903,8.297225501770956,0.5472399439185297,34242,No,0,24.29,16.09,12.63,154.07,,,162.07,,,17651.0,0.7,Positive,Energy,44.57,9.91,1.65,0.9949360848379524,0.3145466134750678,8.915659683130452,34.73897981125313,3.6036036036035974,42.07963334288169,11.17079311791859,51.64783544833318,0.1393834617427395,16.1534048543993
